"filename", "language", "JSON", "YAML", "Groovy", "Markdown", "Dart", "Properties", "Swift", "TypeScript", "XML", "JavaScript", "C++", "HTML", "comment", "blank", "total"
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/widget/Assets.xcassets/WidgetBackground.colorset/Contents.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/widget/widget.swift", "Swift", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 7, 13, 70
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Componenets/background.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Screens/Authentication/login.dart", "Dart", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 7, 148
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Screens/Authentication/register.dart", "Dart", 0, 0, 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 10, 18, 280
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Screens/dashboard.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Screens/onboading.dart", "Dart", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 5, 9, 151
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Services/dynamic_link_service.dart", "Dart", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 30, 9, 108
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/main.dart", "Dart", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 12, 12, 80
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/presence.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/pubspec.yaml", "YAML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 18, 100
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/test/widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 18, 7, 105
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/web/manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 4, 5, 15
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 6, 16
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 4, 13, 62
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 5, 9, 34
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 4, 10, 44
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/resource.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 6, 2, 17
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 2, 10, 65
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 6, 6, 20
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 15, 48, 246
"/Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 29, 22, 99
"Total", "-", 3683, 29, 92, 13, 750, 8, 78, 16, 123, 71, 408, 80, 303, 301, 5955
